,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,4.0,edita_debra.png,debra_edita.png,aligned_inverted_different,True
1,13-test-trial-2,different,6.699999999999999,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,False
2,14-test-trial-3,same,1.1,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
3,15-test-trial-4,same,0.7999999999999998,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
4,16-test-trial-5,same,0.6000000000000001,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,True
5,17-test-trial-6,different,0.6000000000000001,saskie_milota.png,milota_saskie.png,aligned_inverted_different,True
6,18-test-trial-7,different,3.5,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,False
7,19-test-trial-8,same,0.0,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
8,20-test-trial-9,different,1.2999999999999998,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
9,21-test-trial-10,different,2.5,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
10,22-test-trial-11,same,0.20000000000000018,josef_maxim.png,josef_josef.png,misaligned_inverted_same,True
11,23-test-trial-12,same,0.3999999999999999,justin_vasil.png,justin_justin.png,aligned_inverted_same,True
12,24-test-trial-13,same,2.3000000000000003,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
13,25-test-trial-14,same,3.8000000000000003,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
14,26-test-trial-15,same,1.7000000000000002,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
15,27-test-trial-16,same,0.6000000000000001,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,True
16,28-test-trial-17,same,0.7000000000000002,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,True
17,29-test-trial-18,same,0.2999999999999998,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
18,30-test-trial-19,different,0.6000000000000001,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
19,31-test-trial-20,same,0.6000000000000001,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
20,32-test-trial-21,same,1.1000000000000005,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,False
21,33-test-trial-22,same,0.0,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
22,34-test-trial-23,same,2.5,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
23,35-test-trial-24,same,0.7999999999999998,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
24,36-test-trial-25,,,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,
25,36-test-trial-25-repeat-1,same,0.2999999999999998,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,False
26,37-test-trial-26,same,1.0,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
27,38-test-trial-27,different,7.800000000000001,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
28,39-test-trial-28,different,6.200000000000001,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
29,40-test-trial-29,different,8.0,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,False
30,41-test-trial-30,different,4.5,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,False
31,42-test-trial-31,same,4.6,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
32,43-test-trial-32,different,0.0,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,True
33,44-test-trial-33,different,1.2000000000000002,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,False
34,45-test-trial-34,different,4.1,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
35,46-test-trial-35,different,3.7,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
36,47-test-trial-36,same,4.5,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
